genome_id	st	family	carbapenemase	country	study
eFTqiVDFVeLz3FoRKmGuTg	ST13	negative		Nigeria	PRJNA351846
uqbGSJGG4JqDCK8bRXzBVM	ST15	negative		Nigeria	PRJEB29739
deESyp4UGZFrjXdyBnMYd4	ST147	negative		Ghana	PRJEB58695
aaFzZcsBR9xtdcU9RYjc7z	ST342	negative		Nigeria	PRJEB29739
2zMSRqAocfCJKkD9QNFy4h	ST5469	negative		Nigeria	PRJEB56918
8Btp9dTmkRESv5TD8E1XB6	ST3290	negative		Senegal	PRJEB29143
wRpqmEWMcumMfMrGJ1wxZQ	ST3281	negative		Senegal	PRJEB29143
hd8rgdPvTyBYYYUDZXhUKY	ST3277	negative		Senegal	PRJEB29143
sBY9yaGJ9Z3UehhpmLwApW	ST15	negative		Nigeria	PRJNA351846
9Cg5tSRuj3WekAkohxtNF8	ST147	negative		Nigeria	PRJEB29739
byKxLedN8hkeYPzGY9RN3e	ST25	negative		Nigeria	PRJEB29739
emc2Y8aewkeLdrXP1ErTVq	ST307	negative		Nigeria	PRJEB29739
5YcHZfCXXEbTw9xNzuwa1J	ST37	negative		Nigeria	PRJEB56918
5fgTM9Ykzy6oP5gU2VX5NY	ST395	negative		Nigeria	PRJEB27707
qnFhGhEkJsEpymtjuEuRg4	ST1658	negative		Nigeria	PRJNA351846
7ktPb5meWXzfQRweFnU2FQ	ST307	negative		Ghana	PRJNA473419
mh8QsLVSKkkUpSJ2Gqsxz6	ST15	negative		NG - Nigeria	PRJEB33565
aCn3H8dceHdJsdtEZ3b3t4	ST1922-3LV	negative		Nigeria	PRJEB56918
uEJwJQyMJ2QWaL2CKEdcYW	ST442	NDM	NDM-1	NG - Nigeria	PRJEB33565
tJvLJNL45xQFCnezmWwrq9	ST17	OXA	OXA-181	Ghana	PRJEB37523
6NgTy4avhPgFMyd7ew6qw3	ST587	negative		Nigeria	PRJNA351846
k1Abhny5Aj34cCaarEoCXn	ST1373	negative		Nigeria	PRJNA351846
fFbaU85qpMEsGYwmCyq8Ut	ST307	negative		NG - Nigeria	PRJEB29739
eHwENZHnSn65mbjtkJquHt	ST86	negative		Nigeria	PRJEB29739
1eAFffAm8xJ8pXbru3vQpd	ST17	OXA	OXA-181	Ghana	PRJEB37523
bZXch8WCLn5U1VZ58x88Hr	ST307	negative		Nigeria	PRJEB56918
knFHbBqNXxxzUbaNPwArxH	ST25	negative		Nigeria	PRJEB56918
8zoC2M3h7ckamKAjpBihyV	ST17	negative		Nigeria	PRJNA351846
8gFkefqhqjn2zNeN7LKmRW	ST39	negative		Ghana	PRJEB37523
hz5rMPrdhtpW96VDvP4ne8	ST3262	negative		Senegal	PRJEB29143
rZERGMB5Yp52Kp9vx2uP5D	ST442	negative		NG	PRJNA800729
dZyyTnDodd4XHPZiAk8kQE	ST411	negative		Senegal	PRJEB29143
wjtzE9JUA51SH7xKqraRjv	ST17	negative		Nigeria	PRJEB29739
p8SgQFDtWxd81Tv3ftnaxK	ST4566	negative		Nigeria	PRJEB29739
3M69ozjtNhRxze64xdpMpL	ST231	negative		Nigeria	PRJEB29739
edEEzeCWmw8eUUzUVioFCf	ST397	negative		Ghana	PRJNA473419
s5urbXg1iSbtHC25WfJZks	ST36	negative		Senegal	PRJEB29143
nyYYpR79VZtQcasBLdMfiW	ST1788	negative		NG - Nigeria	PRJEB29739
b18mSByJ73Zc2ni9mtXKWN	ST17	negative		Senegal	PRJEB29143
je24hCpvFs5pMLicnwhQV9	ST65	negative		Ghana	PRJEB56918
pqK3qeL4G7ZPVdSy5CjHSj	ST5241	negative		Nigeria	PRJEB29739
etKUropWVWCEFKiwWV2BBG	ST629	negative		Senegal	PRJEB29143
cGZBRpV9knuSfH1frNBE59	ST17	OXA	OXA-181	Ghana	PRJEB37523
nNQUHVVTb9zCiUFMKY1hwx	ST3118	negative		Senegal	PRJEB29143
jatWGqpAH5JvPSwEyou3qQ	ST4074	negative		NG - Nigeria	PRJEB33565
6td5bCdGNsHhzxmY5DuJpm	ST147	negative		Nigeria	PRJNA351846
7eksoQvSQJyk2soDV1M8cw	ST16	negative		Ghana	PRJNA473419
kfwfeXJbtjiTtaFgYBYKfM	ST20	negative		Nigeria	PRJNA351846
7W9Wh4jVNr3gqSKjaTTVrX	ST3280	negative		Senegal	PRJEB29143
fu2unBzGpQ9HD7HQwWeFbr	ST17	negative		Senegal	PRJEB29143
hngZ5fvGRzhg2ho5dAJvLB	ST17	OXA	OXA-181	Ghana	PRJEB37523
hnZ1ZdE6LAQiPB2GCPXSqn	ST39	negative		SN	PRJEB78995
mDqJJTmFgkFCPtdJsmaa9f	ST392	NDM	NDM-1	Nigeria	PRJEB29739
fitubmJhtjdRfHPy7SK1BH	ST5244	negative		Nigeria	PRJEB29739
3MA526pMqPnbBirPCAfuqy	ST45	negative		Nigeria	PRJNA351846
9cPaMjZBTZ8UuXxqxw8RB6	ST5245	NDM	NDM-1	Nigeria	PRJEB29739
9UbPm98MQKPEXCjhgM6XyT	ST86	negative		GH	PRJNA1126843
bAvZYPTTZB28fNDnWSoNzb	ST17	OXA	OXA-181	Ghana	PRJEB37523
44GGVE1Y8qV6RnvZ2QmjzV	ST464-1LV	NDM	NDM-7	NG - Nigeria	PRJEB33565
3FuWbd6iGPmGnVZZcGZyfs	ST147	NDM	NDM-1	Ghana	PRJEB56918
vHGvxrKSaFxeGXjF6BdbxC	ST25	negative		Nigeria	PRJNA351846
7uKY2qaZYWVBwzpDeBiFfs	ST4	NDM	NDM-1	Nigeria	PRJEB27707
8VpgMT25T3vC3CQ4msverS	ST25	negative		Nigeria	PRJEB29739
rXmjdxBcV3RiCYQcFLAVpe	ST3109	negative		Senegal	PRJEB29143
u5kvsKQqPhBxL934Cq9gcd	ST15	negative		NG - Nigeria	PRJEB29739
iZPKFzecZEFRQ8HmNDhgjo	ST86	negative		Nigeria	PRJEB29739
mkvUGFdMkBi4RkyhgK68qy	ST281	negative		Nigeria	PRJEB29739
9CCiQRuF1iiXJcym6A21J5	ST1419	negative		Senegal	PRJEB29143
7wDUQTqU6GG7ibv7DvsZXW	ST147-1LV	negative		Nigeria	PRJEB29739
8akqHeZBUgH2nDjdmxK8yD	ST1788	negative		NG	PRJNA800729
3tmGB8ktxVeLWCRwUz9d8c	ST25	negative		Nigeria	PRJNA351846
