genome_id	st	family	carbapenemase	country	study
vJYckjzrYprKU3MEzNj7Fp	ST48	negative		Benin	PRJEB56918
oahhcaMCteeYDPc2GHaFxi	ST1015	negative		Senegal	PRJEB29143
gHwCs7jfA2m26zJTwoQDE1	ST3612	negative		Nigeria	PRJNA351846
6GDQioRLuUjGgXBvzJ15SN	ST307	negative		Nigeria	PRJEB29739
wSEshuFUNDgMEGBiHnLH9y	ST36	negative		Senegal	PRJEB29143
5eG887v1RUpSkjdGw8sGgS	ST152	negative		Ghana	PRJNA473419
97yZNNPPKmYM3JYMqwuMJk	ST307	OXA	OXA-48	SN	PRJEB78995
6MHXM1WJLUdmMekDndtf9o	ST234	OXA	OXA-181	SN	PRJEB78995
fvPMyr5PwYZ9hLw15vxCDJ	ST35	negative		Ghana	PRJEB56918
jKtntykrHw7dbtizkJY58n	ST5241	negative		Nigeria	PRJEB29739
2zPTZkh76qfbRoz5iw4sY1	ST252	negative		Nigeria	PRJEB56918
mxGK98nBQ8MpsZjV37SZ9z	ST1243	negative		SN	PRJEB78995
94Pknj5Nyf3QQBDqPjr6it	ST3295	negative		Senegal	PRJEB29143
qXXvn6JkA1n3XnLWZL5pXq	ST25	negative		Ghana	PRJEB37523
8Xgc52vtKZVkfHJUruR9Y2	ST25	negative		Ghana	PRJEB56918
8ZSgD6stSFnVwrq7ktKyXW	ST967	negative		Nigeria	PRJEB29739
r4AoMQg5rneJcvC4fvfkPH	ST39	negative		NG	PRJNA800729
kgF7ju1JDHCHz9o4VMNQ91	ST25	negative		Nigeria	PRJNA351846
2zmwVkNyF5VkwamG5Jafkv	ST3113	negative		Senegal	PRJEB29143
7p9Cky8RYKxpUFo3fVUd3B	ST395	NDM	NDM-1	Nigeria	PRJEB27707
p6tXQwFHWQ5v1iYXYbG3Nk	ST1035	negative		NG - Nigeria	PRJEB33565
94KiySvHMunwJLkimJxpF9	ST4	negative		NG - Nigeria	PRJEB29739
sxBhCqe6JfCuhqcVxJ64TP	ST429	negative		Nigeria	PRJNA351846
tnaMM8Jew5zJav2r6TgpGL	ST280	negative		Ghana	PRJNA473419
jmUDKLwZX2hKEkNjdsmyB4	ST242	negative		Nigeria	PRJEB29739
eHV5akLFSxPCw6DHExHqfW	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
7LgrgfhCCcAtm1zUX8QJRr	ST147	NDM	NDM-1	Nigeria	PRJEB29739
8jXG7iH86drY6gQMgCinc4	ST15	negative		Nigeria	PRJEB29739
9LVQVQ8TSA1bP3abTZgCxt	ST5244	negative		Nigeria	PRJEB29739
4ohEiVid7BMPdopx1TBd9q	ST3337	negative		Senegal	PRJEB29143
35HdoqhevFZ7ogKPvWK6MG	ST17	OXA	OXA-181	Ghana	PRJEB37523
nfWUVQ7io1bTNgXQArzTgB	ST101	negative		Nigeria	PRJEB29739
r8kPKmfLUtjTQHXvob6CDa	ST20	NDM	NDM-1	Nigeria	PRJEB39293
x18NQidq7sicRzihob2BFF	ST25	negative		Nigeria	PRJNA351846
ahpcz4JJbo98b5GoYf9pUj	ST5246	negative		Nigeria	PRJEB29739
ey8XCQmUMpjkqHe1wfrKMu	ST147	negative		Ghana	PRJNA473419
pGFpThALdSx9WadLPUCP27	ST1419	negative		Senegal	PRJEB29143
gHRiH5GELXDMrX85tVKZ28	ST14	negative		Ghana	PRJEB56918
pBqSWqxGYCeRocDsfgh6iq	ST3339	negative		Senegal	PRJEB29143
qCbmDssgHLcBae438R5Dyc	ST395	NDM	NDM-1	Nigeria	PRJEB27707
iFAMgQEQ9r63a5vi8Ebd8V	ST48	negative		Nigeria	PRJNA351846
jTiRmR53by543rfq4UbbmC	ST25	negative		Ghana	PRJEB37523
mXmvUBJsJ3NCEFC9wtxG9K	ST45	negative		Nigeria	PRJEB56918
btUoFbd8aqxcD1n6YhpvHc	ST3286	negative		Senegal	PRJEB29143
okt9qZNhhLcsFeCFnXKnuK	ST48	negative		Nigeria	PRJNA351846
hbHdbHfoXrwNJcLBhzHvVm	ST73	negative		Nigeria	PRJNA351846
kBALZdVn7VujpzkzPa26An	ST39	negative		NG - Nigeria	PRJEB33565
tTyCjY4Csbq3fyU8svwuo4	ST17	negative		Ghana	PRJEB56918
hxXhLzorgrHxR6NnkSrdqN	ST340	negative		Nigeria	PRJEB29739
eATSxGb5iiL8KhfjiQiVPf	ST2800	negative		Senegal	PRJEB29143
axVxmWyZzm8aS1bKjVkAnL	ST716	NDM	NDM-1	Nigeria	PRJEB29739
abi1Cozq38MftZu9GoWRo8	ST17	negative		SN	PRJEB78995
34caPkcrqQNC2rujeV82s2	ST39	negative		NG - Nigeria	PRJEB33565
eRdZQySuxPmv3FVXxLg8yD	ST170	negative		NG - Nigeria	PRJEB33565
csEo9XuSMWgYBzktbKmSSj	ST307	negative		Nigeria	PRJEB29739
aeouxh2g1Te9sjQB2ycPTG	ST395	NDM	NDM-1	Nigeria	PRJEB27707
