comparison	gene	n_positive_with	n_positive	n_reference_with	n_reference	pct_positive	pct_reference	crude_or	crude_p	cmh_or	cmh_p	n_strata	crude_q	cmh_q
NDM	catA1	6	60	55	458	10.0	12.0	0.81	0.8316134369754984	0.83	0.9211758011115924	9	0.8805318744446453	0.9211758011115924
NDM	catII.2	8	60	78	458	13.3	17.0	0.75	0.581131808219663	0.42	0.254941558637826	9	0.7214050033071678	0.4952728033238237
NDM	dfrA1	10	60	23	458	16.7	5.0	3.78	0.00225205300782855	0.78	0.8595722011099951	9	0.006236454483217523	0.9101352717635243
NDM	dfrA12	32	60	19	458	53.3	4.1	26.41	1.6006854455715397e-21	38.31	1.2357037723356876e-13	9	1.1524935208115086e-20	1.112133395102119e-12
NDM	dfrA14	16	60	166	458	26.7	36.2	0.64	0.15326482664996105	0.77	0.6833649039768661	9	0.2627397028285047	0.8628451051028974
NDM	dfrA15	10	60	76	458	16.7	16.6	1.01	1.0	0.7	0.7257394249789775	9	1.0	0.8708873099747729
NDM	dfrA27	2	60	12	458	3.3	2.6	1.28	0.6709700875530813	0.8	0.7816262538787475	9	0.7791910694164815	0.879329535613591
NDM	mphA	4	60	39	458	6.7	8.5	0.77	0.8051337268193475	0.34	0.5249217609835639	9	0.8785038452114932	0.7896489508427812
NDM	mphE	30	60	3	458	50.0	0.7	151.67	1.245257487913694e-28	150.19	5.024171682295706e-16	9	1.4943089854964326e-27	6.029006018754847e-15
NDM	msrE	30	60	3	458	50.0	0.7	151.67	1.245257487913694e-28	150.19	5.024171682295706e-16	9	1.4943089854964326e-27	6.029006018754847e-15
NDM	qnrB1	13	60	86	458	21.7	18.8	1.2	0.6013373606319631	1.7	0.31993314267308115	9	0.7216048327583557	0.5758796568115461
NDM	qnrB2	10	60	16	458	16.7	3.5	5.53	0.0002517850484194551	6.31	0.04658414619649344	9	0.0008240237948273076	0.15245720573397853
NDM	qnrS1	15	60	76	458	25.0	16.6	1.68	0.14681761299314772	0.65	0.5493304098361952	9	0.2627397028285047	0.7910357901641212
NDM	strA	21	60	229	458	35.0	50.0	0.54	0.03864084995591567	0.56	0.23125187106442946	9	0.07728169991183134	0.4952728033238237
